2022-12-09 05:15:16,058 [INFO ]  loading data ../qm9.db
2022-12-09 09:55:29,584 [INFO ]  step=520000, val_mae=0.452774, val_rmse=0.958943, train_loss=0.209473
2022-12-09 09:59:44,805 [INFO ]  step=530000, val_mae=0.451156, val_rmse=0.954221, train_loss=0.203029
2022-12-09 10:03:58,531 [INFO ]  step=540000, val_mae=0.444478, val_rmse=0.939432, train_loss=0.195674
2022-12-09 10:08:10,209 [INFO ]  step=550000, val_mae=0.43913, val_rmse=0.922301, train_loss=0.189184
2022-12-09 10:12:21,963 [INFO ]  step=560000, val_mae=0.438192, val_rmse=0.924462, train_loss=0.182835
2022-12-09 10:16:33,572 [INFO ]  step=570000, val_mae=0.432597, val_rmse=0.910687, train_loss=0.176334
2022-12-09 10:20:45,512 [INFO ]  step=580000, val_mae=0.42925, val_rmse=0.9031, train_loss=0.169603
2022-12-09 10:24:57,528 [INFO ]  step=590000, val_mae=0.425016, val_rmse=0.891642, train_loss=0.163187
2022-12-09 10:29:09,391 [INFO ]  step=600000, val_mae=0.424095, val_rmse=0.890938, train_loss=0.157337
2022-12-09 10:33:21,180 [INFO ]  step=610000, val_mae=0.41832, val_rmse=0.875144, train_loss=0.150913
2022-12-09 10:37:33,292 [INFO ]  step=620000, val_mae=0.416834, val_rmse=0.873585, train_loss=0.145005
2022-12-09 10:41:44,984 [INFO ]  step=630000, val_mae=0.411876, val_rmse=0.861585, train_loss=0.139295
2022-12-09 10:45:56,575 [INFO ]  step=640000, val_mae=0.409149, val_rmse=0.855174, train_loss=0.133096
2022-12-09 10:50:07,850 [INFO ]  step=650000, val_mae=0.407331, val_rmse=0.850431, train_loss=0.127388
2022-12-09 10:54:19,338 [INFO ]  step=660000, val_mae=0.403066, val_rmse=0.840251, train_loss=0.122804
2022-12-09 10:58:31,321 [INFO ]  step=670000, val_mae=0.401499, val_rmse=0.835765, train_loss=0.116601
2022-12-09 11:02:43,574 [INFO ]  step=680000, val_mae=0.399651, val_rmse=0.829975, train_loss=0.111418
2022-12-09 11:06:55,216 [INFO ]  step=690000, val_mae=0.392837, val_rmse=0.814917, train_loss=0.106121
2022-12-09 11:11:07,067 [INFO ]  step=699999, val_mae=0.387677, val_rmse=0.799302, train_loss=0.101586
2022-12-09 11:11:07,092 [INFO ]  Max steps reached, exiting
